,State,Date,Cured,Deaths,Confirmed
0,Andaman and Nicobar Islands,2020-03-26,0,0,1
1,Andaman and Nicobar Islands,2020-03-27,0,0,1
2,Andaman and Nicobar Islands,2020-03-28,0,0,6
3,Andaman and Nicobar Islands,2020-03-29,0,0,9
4,Andaman and Nicobar Islands,2020-03-30,0,0,9
5,Andaman and Nicobar Islands,2020-03-31,0,0,10
6,Andaman and Nicobar Islands,2020-04-01,0,0,10
7,Andaman and Nicobar Islands,2020-04-02,0,0,10
8,Andaman and Nicobar Islands,2020-04-03,0,0,10
9,Andaman and Nicobar Islands,2020-04-04,0,0,10
10,Andaman and Nicobar Islands,2020-04-05,0,0,10
11,Andaman and Nicobar Islands,2020-04-06,0,0,10
12,Andaman and Nicobar Islands,2020-04-07,0,0,10
13,Andaman and Nicobar Islands,2020-04-08,0,0,10
14,Andaman and Nicobar Islands,2020-04-09,0,0,11
15,Andaman and Nicobar Islands,2020-04-10,0,0,11
16,Andaman and Nicobar Islands,2020-04-11,0,0,11
17,Andaman and Nicobar Islands,2020-04-12,10,0,11
18,Andaman and Nicobar Islands,2020-04-13,10,0,11
19,Andaman and Nicobar Islands,2020-04-14,10,0,11
20,Andaman and Nicobar Islands,2020-04-15,10,0,11
21,Andaman and Nicobar Islands,2020-04-16,10,0,11
22,Andaman and Nicobar Islands,2020-04-17,10,0,11
23,Andaman and Nicobar Islands,2020-04-18,11,0,12
24,Andaman and Nicobar Islands,2020-04-19,11,0,14
25,Andaman and Nicobar Islands,2020-04-20,11,0,15
26,Andaman and Nicobar Islands,2020-04-21,11,0,16
27,Andaman and Nicobar Islands,2020-04-22,11,0,17
28,Andaman and Nicobar Islands,2020-04-23,11,0,18
29,Andaman and Nicobar Islands,2020-04-24,11,0,22
30,Andaman and Nicobar Islands,2020-04-25,11,0,27
31,Andaman and Nicobar Islands,2020-04-26,11,0,33
32,Andaman and Nicobar Islands,2020-04-27,11,0,33
33,Andaman and Nicobar Islands,2020-04-28,11,0,33
34,Andaman and Nicobar Islands,2020-04-29,15,0,33
35,Andaman and Nicobar Islands,2020-04-30,15,0,33
36,Andaman and Nicobar Islands,2020-05-01,16,0,33
37,Andaman and Nicobar Islands,2020-05-02,16,0,33
38,Andaman and Nicobar Islands,2020-05-03,17,0,33
39,Andaman and Nicobar Islands,2020-05-04,32,0,33
40,Andaman and Nicobar Islands,2020-05-05,32,0,33
41,Andaman and Nicobar Islands,2020-05-06,32,0,33
42,Andaman and Nicobar Islands,2020-05-07,32,0,33
43,Andaman and Nicobar Islands,2020-05-08,33,0,33
44,Andaman and Nicobar Islands,2020-05-09,33,0,33
45,Andaman and Nicobar Islands,2020-05-10,33,0,33
46,Andaman and Nicobar Islands,2020-05-11,33,0,33
47,Andaman and Nicobar Islands,2020-05-12,33,0,33
48,Andaman and Nicobar Islands,2020-05-13,33,0,33
49,Andaman and Nicobar Islands,2020-05-14,33,0,33
50,Andaman and Nicobar Islands,2020-05-15,33,0,33
51,Andaman and Nicobar Islands,2020-05-16,33,0,33
52,Andaman and Nicobar Islands,2020-05-17,33,0,33
53,Andaman and Nicobar Islands,2020-05-18,33,0,33
54,Andaman and Nicobar Islands,2020-05-19,33,0,33
55,Andaman and Nicobar Islands,2020-05-20,33,0,33
56,Andaman and Nicobar Islands,2020-05-21,33,0,33
57,Andaman and Nicobar Islands,2020-05-22,33,0,33
58,Andaman and Nicobar Islands,2020-05-23,33,0,33
59,Andaman and Nicobar Islands,2020-05-24,33,0,33
60,Andaman and Nicobar Islands,2020-05-25,33,0,33
61,Andaman and Nicobar Islands,2020-05-26,33,0,33
62,Andaman and Nicobar Islands,2020-05-27,33,0,33
63,Andaman and Nicobar Islands,2020-05-28,33,0,33
64,Andaman and Nicobar Islands,2020-05-29,33,0,33
65,Andaman and Nicobar Islands,2020-05-30,33,0,33
66,Andaman and Nicobar Islands,2020-05-31,33,0,33
67,Andaman and Nicobar Islands,2020-06-01,33,0,33
68,Andaman and Nicobar Islands,2020-06-02,33,0,33
69,Andaman and Nicobar Islands,2020-06-03,33,0,33
70,Andaman and Nicobar Islands,2020-06-04,33,0,33
71,Andaman and Nicobar Islands,2020-06-05,33,0,33
72,Andaman and Nicobar Islands,2020-06-06,33,0,33
73,Andaman and Nicobar Islands,2020-06-07,33,0,33
74,Andaman and Nicobar Islands,2020-06-08,33,0,33
75,Andaman and Nicobar Islands,2020-06-09,33,0,33
76,Andaman and Nicobar Islands,2020-06-10,33,0,33
77,Andaman and Nicobar Islands,2020-06-11,33,0,34
78,Andaman and Nicobar Islands,2020-06-12,33,0,38
79,Andaman and Nicobar Islands,2020-06-13,33,0,38
80,Andaman and Nicobar Islands,2020-06-14,33,0,38
81,Andaman and Nicobar Islands,2020-06-15,33,0,38
82,Andaman and Nicobar Islands,2020-06-16,33,0,41
83,Andaman and Nicobar Islands,2020-06-17,33,0,44
84,Andaman and Nicobar Islands,2020-06-18,33,0,44
85,Andaman and Nicobar Islands,2020-06-19,33,0,44
86,Andaman and Nicobar Islands,2020-06-20,35,0,45
87,Andaman and Nicobar Islands,2020-06-21,36,0,47
88,Andaman and Nicobar Islands,2020-06-22,37,0,48
89,Andaman and Nicobar Islands,2020-06-23,37,0,48
90,Andaman and Nicobar Islands,2020-06-24,40,0,50
91,Andaman and Nicobar Islands,2020-06-25,43,0,56
