State,Date,Cured(cumsum),Deaths(cumsum),Confirmed(cumsum),Cured,Deaths,Confirmed
Andaman and Nicobar Islands,2020-03-26,0,0,1,0,0,1
Andaman and Nicobar Islands,2020-03-27,0,0,1,0,0,0
Andaman and Nicobar Islands,2020-03-28,0,0,6,0,0,5
Andaman and Nicobar Islands,2020-03-29,0,0,9,0,0,3
Andaman and Nicobar Islands,2020-03-30,0,0,9,0,0,0
Andaman and Nicobar Islands,2020-03-31,0,0,10,0,0,1
Andaman and Nicobar Islands,2020-04-01,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-02,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-03,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-04,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-05,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-06,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-07,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-08,0,0,10,0,0,0
Andaman and Nicobar Islands,2020-04-09,0,0,11,0,0,1
Andaman and Nicobar Islands,2020-04-10,0,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-11,0,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-12,10,0,11,10,0,0
Andaman and Nicobar Islands,2020-04-13,10,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-14,10,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-15,10,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-16,10,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-17,10,0,11,0,0,0
Andaman and Nicobar Islands,2020-04-18,11,0,12,1,0,1
Andaman and Nicobar Islands,2020-04-19,11,0,14,0,0,2
Andaman and Nicobar Islands,2020-04-20,11,0,15,0,0,1
Andaman and Nicobar Islands,2020-04-21,11,0,16,0,0,1
Andaman and Nicobar Islands,2020-04-22,11,0,17,0,0,1
Andaman and Nicobar Islands,2020-04-23,11,0,18,0,0,1
Andaman and Nicobar Islands,2020-04-24,11,0,22,0,0,4
Andaman and Nicobar Islands,2020-04-25,11,0,27,0,0,5
Andaman and Nicobar Islands,2020-04-26,11,0,33,0,0,6
Andaman and Nicobar Islands,2020-04-27,11,0,33,0,0,0
Andaman and Nicobar Islands,2020-04-28,11,0,33,0,0,0
Andaman and Nicobar Islands,2020-04-29,15,0,33,4,0,0
Andaman and Nicobar Islands,2020-04-30,15,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-01,16,0,33,1,0,0
Andaman and Nicobar Islands,2020-05-02,16,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-03,17,0,33,1,0,0
Andaman and Nicobar Islands,2020-05-04,32,0,33,15,0,0
Andaman and Nicobar Islands,2020-05-05,32,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-06,32,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-07,32,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-08,33,0,33,1,0,0
Andaman and Nicobar Islands,2020-05-09,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-10,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-11,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-12,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-13,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-14,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-15,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-16,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-17,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-18,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-19,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-20,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-21,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-22,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-23,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-24,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-25,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-26,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-27,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-28,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-29,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-30,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-05-31,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-01,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-02,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-03,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-04,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-05,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-06,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-07,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-08,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-09,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-10,33,0,33,0,0,0
Andaman and Nicobar Islands,2020-06-11,33,0,34,0,0,1
Andaman and Nicobar Islands,2020-06-12,33,0,38,0,0,4
Andaman and Nicobar Islands,2020-06-13,33,0,38,0,0,0
Andaman and Nicobar Islands,2020-06-14,33,0,38,0,0,0
Andaman and Nicobar Islands,2020-06-15,33,0,38,0,0,0
Andaman and Nicobar Islands,2020-06-16,33,0,41,0,0,3
Andaman and Nicobar Islands,2020-06-17,33,0,44,0,0,3
Andaman and Nicobar Islands,2020-06-18,33,0,44,0,0,0
Andaman and Nicobar Islands,2020-06-19,33,0,44,0,0,0
Andaman and Nicobar Islands,2020-06-20,35,0,45,2,0,1
Andaman and Nicobar Islands,2020-06-21,36,0,47,1,0,2
Andaman and Nicobar Islands,2020-06-22,37,0,48,1,0,1
Andaman and Nicobar Islands,2020-06-23,37,0,48,0,0,0
Andaman and Nicobar Islands,2020-06-24,40,0,50,3,0,2
Andaman and Nicobar Islands,2020-06-25,43,0,56,3,0,6
Andaman and Nicobar Islands,2020-06-26,43,0,59,0,0,3
Andaman and Nicobar Islands,2020-06-27,43,0,72,0,0,13
Andaman and Nicobar Islands,2020-06-28,43,0,72,0,0,0
Andaman and Nicobar Islands,2020-06-29,45,0,76,2,0,4
Andaman and Nicobar Islands,2020-06-30,46,0,90,1,0,14
Andaman and Nicobar Islands,2020-07-01,50,0,97,4,0,7
Andaman and Nicobar Islands,2020-07-02,50,0,100,0,0,3
Andaman and Nicobar Islands,2020-07-03,51,0,109,1,0,9
Andaman and Nicobar Islands,2020-07-04,54,0,116,3,0,7
Andaman and Nicobar Islands,2020-07-05,66,0,119,12,0,3
Andaman and Nicobar Islands,2020-07-06,72,0,125,6,0,6
Andaman and Nicobar Islands,2020-07-07,74,0,141,2,0,16
Andaman and Nicobar Islands,2020-07-08,75,0,147,1,0,6
Andaman and Nicobar Islands,2020-07-09,77,0,149,2,0,2
Andaman and Nicobar Islands,2020-07-10,83,0,151,6,0,2
Andaman and Nicobar Islands,2020-07-11,92,0,156,9,0,5
Andaman and Nicobar Islands,2020-07-12,93,0,163,1,0,7
Andaman and Nicobar Islands,2020-07-13,93,0,163,0,0,0
Andaman and Nicobar Islands,2020-07-14,109,0,166,16,0,3
Andaman and Nicobar Islands,2020-07-15,109,0,166,0,0,0
Andaman and Nicobar Islands,2020-07-16,130,0,176,21,0,10
Andaman and Nicobar Islands,2020-07-17,133,0,180,3,0,4
Andaman and Nicobar Islands,2020-07-18,142,0,194,9,0,14
Andaman and Nicobar Islands,2020-07-19,145,0,198,3,0,4
Andaman and Nicobar Islands,2020-07-20,145,0,203,0,0,5
Andaman and Nicobar Islands,2020-07-21,152,0,207,7,0,4
Andaman and Nicobar Islands,2020-07-22,159,0,212,7,0,5
Andaman and Nicobar Islands,2020-07-23,163,0,221,4,0,9
Andaman and Nicobar Islands,2020-07-24,170,0,240,7,0,19
Andaman and Nicobar Islands,2020-07-25,174,0,259,4,0,19
Andaman and Nicobar Islands,2020-07-26,176,0,290,2,0,31
Andaman and Nicobar Islands,2020-07-27,182,0,324,6,0,34
Andaman and Nicobar Islands,2020-07-28,192,1,338,10,1,14
Andaman and Nicobar Islands,2020-07-29,196,1,363,4,0,25
Andaman and Nicobar Islands,2020-07-30,201,2,428,5,1,65
Andaman and Nicobar Islands,2020-07-31,201,4,471,0,2,43
Andaman and Nicobar Islands,2020-08-01,214,5,548,13,1,77
Andaman and Nicobar Islands,2020-08-02,226,7,636,12,2,88
Andaman and Nicobar Islands,2020-08-03,242,8,734,16,1,98
Andaman and Nicobar Islands,2020-08-04,263,10,830,21,2,96
Andaman and Nicobar Islands,2020-08-05,277,12,928,14,2,98
Andaman and Nicobar Islands,2020-08-06,326,14,1027,49,2,99
Andaman and Nicobar Islands,2020-08-07,355,16,1123,29,2,96
Andaman and Nicobar Islands,2020-08-08,425,19,1222,70,3,99
Andaman and Nicobar Islands,2020-08-09,500,20,1351,75,1,129
Andaman and Nicobar Islands,2020-08-10,648,20,1490,148,0,139
Andaman and Nicobar Islands,2020-08-11,709,20,1625,61,0,135
Andaman and Nicobar Islands,2020-08-12,749,21,1764,40,1,139
Andaman and Nicobar Islands,2020-08-13,829,21,1900,80,0,136
Andaman and Nicobar Islands,2020-08-14,924,22,2037,95,1,137
Andaman and Nicobar Islands,2020-08-15,1032,24,2186,108,2,149
Andaman and Nicobar Islands,2020-08-16,1128,24,2306,96,0,120
Andaman and Nicobar Islands,2020-08-17,1226,28,2399,98,4,93
Andaman and Nicobar Islands,2020-08-18,1325,29,2445,99,1,46
Andaman and Nicobar Islands,2020-08-19,1421,30,2529,96,1,84
Andaman and Nicobar Islands,2020-08-20,1529,30,2604,108,0,75
Andaman and Nicobar Islands,2020-08-21,1638,31,2680,109,1,76
Andaman and Nicobar Islands,2020-08-22,1744,32,2747,106,1,67
Andaman and Nicobar Islands,2020-08-23,1853,32,2808,109,0,61
Andaman and Nicobar Islands,2020-08-24,1963,33,2860,110,1,52
Andaman and Nicobar Islands,2020-08-25,2092,35,2904,129,2,44
Andaman and Nicobar Islands,2020-08-26,2231,37,2945,139,2,41
Andaman and Nicobar Islands,2020-08-27,2309,41,2985,78,4,40
Andaman and Nicobar Islands,2020-08-28,2374,42,3018,65,1,33
Andaman and Nicobar Islands,2020-08-29,2444,42,3050,70,0,32
Andaman and Nicobar Islands,2020-08-30,2519,44,3081,75,2,31
Andaman and Nicobar Islands,2020-08-31,2586,45,3104,67,1,23
Andaman and Nicobar Islands,2020-09-01,2647,46,3132,61,1,28
Andaman and Nicobar Islands,2020-09-02,2714,46,3160,67,0,28
Andaman and Nicobar Islands,2020-09-03,2758,47,3186,44,1,26
Andaman and Nicobar Islands,2020-09-04,2823,48,3223,65,1,37
Andaman and Nicobar Islands,2020-09-05,2863,49,3257,40,1,34
Andaman and Nicobar Islands,2020-09-06,2904,50,3292,41,1,35
Andaman and Nicobar Islands,2020-09-07,2951,50,3332,47,0,40
Andaman and Nicobar Islands,2020-09-08,2997,50,3359,46,0,27
Andaman and Nicobar Islands,2020-09-09,3035,50,3392,38,0,33
Andaman and Nicobar Islands,2020-09-10,3078,51,3426,43,1,34
Andaman and Nicobar Islands,2020-09-11,3121,51,3465,43,0,39
Andaman and Nicobar Islands,2020-09-12,3157,51,3494,36,0,29
Andaman and Nicobar Islands,2020-09-13,3202,51,3521,45,0,27
Andaman and Nicobar Islands,2020-09-14,3243,51,3546,41,0,25
Andaman and Nicobar Islands,2020-09-15,3278,52,3557,35,1,11
Andaman and Nicobar Islands,2020-09-16,3318,52,3574,40,0,17
Andaman and Nicobar Islands,2020-09-17,3345,52,3593,27,0,19
Andaman and Nicobar Islands,2020-09-18,3378,52,3604,33,0,11
Andaman and Nicobar Islands,2020-09-19,3414,52,3631,36,0,27
Andaman and Nicobar Islands,2020-09-20,3436,52,3644,22,0,13
Andaman and Nicobar Islands,2020-09-21,3452,52,3651,16,0,7
Andaman and Nicobar Islands,2020-09-22,3469,52,3673,17,0,22
Andaman and Nicobar Islands,2020-09-23,3479,52,3691,10,0,18
Andaman and Nicobar Islands,2020-09-24,3494,52,3712,15,0,21
Andaman and Nicobar Islands,2020-09-25,3503,52,3744,9,0,32
Andaman and Nicobar Islands,2020-09-26,3528,52,3759,25,0,15
